Date,State,State_Code,District,District_Code,Confirmed,Active,Recovered,Deceased,Under_Observation,Home_Isolation,Symptomatic_Hospitalized,Symptomatic_Hospitalized_Today
18-02-2020,Kerala,32,Alappuzha,598,1,0,1,0,175,174,1,0
18-02-2020,Kerala,32,Ernakulam,595,0,0,0,0,322,322,0,1
18-02-2020,Kerala,32,Thrissur,594,1,1,0,0,170,166,4,10
18-02-2020,Kerala,32,Palakkad,593,0,0,0,0,105,104,1,4
18-02-2020,Kerala,32,Malappuram,592,0,0,0,0,245,242,3,4
18-02-2020,Kerala,32,Kozhikode,591,0,0,0,0,195,193,2,7
18-02-2020,Kerala,32,Wayanad,590,0,0,0,0,54,54,0,0
18-02-2020,Kerala,32,Kannur,589,0,0,0,0,186,186,0,7
18-02-2020,Kerala,32,Kasaragod,588,1,0,1,0,56,56,0,11
19-02-2020,Kerala,32,Thiruvananthapuram,601,0,0,0,0,413,411,2,27
19-02-2020,Kerala,32,Kollam,600,0,0,0,0,155,155,0,5
19-02-2020,Kerala,32,Pathanamthitta,599,0,0,0,0,38,38,0,4
19-02-2020,Kerala,32,Idukki,596,0,0,0,0,24,24,0,0
19-02-2020,Kerala,32,Kottayam,597,0,0,0,0,78,78,0,0
19-02-2020,Kerala,32,Alappuzha,598,1,0,1,0,181,180,1,0
19-02-2020,Kerala,32,Ernakulam,595,0,0,0,0,332,332,0,4
19-02-2020,Kerala,32,Thrissur,594,1,1,0,0,176,174,2,3
19-02-2020,Kerala,32,Palakkad,593,0,0,0,0,105,104,1,1
19-02-2020,Kerala,32,Malappuram,592,0,0,0,0,252,250,2,3
19-02-2020,Kerala,32,Kozhikode,591,0,0,0,0,193,193,0,3
19-02-2020,Kerala,32,Wayanad,590,0,0,0,0,56,56,0,1
19-02-2020,Kerala,32,Kannur,589,0,0,0,0,186,186,0,4
19-02-2020,Kerala,32,Kasaragod,588,1,0,1,0,53,53,0,3
20-02-2020,Kerala,32,Thiruvananthapuram,601,0,0,0,0,227,224,3,193
20-02-2020,Kerala,32,Kollam,600,0,0,0,0,20,20,0,137
20-02-2020,Kerala,32,Pathanamthitta,599,0,0,0,0,2,2,0,36
20-02-2020,Kerala,32,Idukki,596,0,0,0,0,2,2,0,22
20-02-2020,Kerala,32,Kottayam,597,0,0,0,0,71,71,0,10
20-02-2020,Kerala,32,Alappuzha,598,1,0,1,0,40,39,1,141
20-02-2020,Kerala,32,Ernakulam,595,0,0,0,0,111,110,1,227
20-02-2020,Kerala,32,Thrissur,594,1,0,1,0,169,169,0,7
20-02-2020,Kerala,32,Palakkad,593,0,0,0,0,11,11,0,94
20-02-2020,Kerala,32,Malappuram,592,0,0,0,0,245,244,1,7
20-02-2020,Kerala,32,Kozhikode,591,0,0,0,0,5,4,1,189
20-02-2020,Kerala,32,Wayanad,590,0,0,0,0,0,0,0,56
20-02-2020,Kerala,32,Kannur,589,0,0,0,0,7,7,0,181
20-02-2020,Kerala,32,Kasaragod,588,1,0,1,0,4,4,0,49
21-02-2020,Kerala,32,Thiruvananthapuram,601,0,0,0,0,208,206,2,27
21-02-2020,Kerala,32,Kollam,600,0,0,0,0,11,11,0,9
21-02-2020,Kerala,32,Pathanamthitta,599,0,0,0,0,2,2,0,0
21-02-2020,Kerala,32,Idukki,596,0,0,0,0,2,2,0,0
21-02-2020,Kerala,32,Kottayam,597,0,0,0,0,71,71,0,0
21-02-2020,Kerala,32,Alappuzha,598,1,0,1,0,30,29,1,10
21-02-2020,Kerala,32,Ernakulam,595,0,0,0,0,112,111,1,0
21-02-2020,Kerala,32,Thrissur,594,1,0,1,0,166,166,0,5
21-02-2020,Kerala,32,Palakkad,593,0,0,0,0,10,10,0,1
21-02-2020,Kerala,32,Malappuram,592,0,0,0,0,84,84,0,163
21-02-2020,Kerala,32,Kozhikode,591,0,0,0,0,4,3,1,1
21-02-2020,Kerala,32,Wayanad,590,0,0,0,0,0,0,0,0
21-02-2020,Kerala,32,Kannur,589,0,0,0,0,7,7,0,0
21-02-2020,Kerala,32,Kasaragod,588,1,0,1,0,4,4,0,0
22-02-2020,Kerala,32,Thiruvananthapuram,601,0,0,0,0,28,26,2,181
22-02-2020,Kerala,32,Kollam,600,0,0,0,0,7,7,0,4
22-02-2020,Kerala,32,Pathanamthitta,599,0,0,0,0,2,2,0,0
22-02-2020,Kerala,32,Idukki,596,0,0,0,0,2,2,0,0
22-02-2020,Kerala,32,Kottayam,597,0,0,0,0,9,9,0,63
22-02-2020,Kerala,32,Alappuzha,598,1,0,1,0,27,26,1,4
22-02-2020,Kerala,32,Ernakulam,595,0,0,0,0,7,7,0,108
22-02-2020,Kerala,32,Thrissur,594,1,0,1,0,31,30,1,136
22-02-2020,Kerala,32,Palakkad,593,0,0,0,0,11,11,0,0
22-02-2020,Kerala,32,Malappuram,592,0,0,0,0,6,6,0,79
22-02-2020,Kerala,32,Kozhikode,591,0,0,0,0,3,3,0,1
